exclude,mid,tid,winner,loser,5-0,winnerbet,loserbet,bets,duration
0,2178,shaker classic,mystique,wonderman,0,5696,6820,,
0,2179,shaker classic,chaos hiryu,sandman,0,25982,2309,,
0,2180,shaker classic,blaze agent,maraiah,0,4382,8366,,
0,2181,shaker classic,marisa kirisame,holy ken,0,24169,13014,,
0,2182,shaker classic,shadow dio,bishop,0,17803,6771,,
0,2183,shaker classic,sasuke kun,shiki tohno,0,23138,2761,,
0,2184,shaker classic,vergil,son goku,0,6606,13912,,
0,2185,shaker classic,mai_k,sentinel,0,10290,18857,,
0,2186,shaker classic,sakura kinomoto,ella,1,51795,7236,,
0,2187,shaker classic,abyss,nega joe,1,14534,7372,,
0,2188,shaker classic,the flash,regina,1,17635,7461,,
0,2189,shaker classic,void,dr.doom,1,46740,4721,,
0,2190,shaker classic,donovan,akiha,1,37148,6515,,
0,2191,shaker classic,saint kyo,vanilla h,0,46485,11407,,
0,2192,shaker classic,shin kazuma,morph,1,25863,13337,,
0,2193,shaker classic,nrvnqsr chaos,chameleon,0,16015,9355,,
0,2194,shaker classic,chaos hiryu,mystique,1,190317,3808,,
0,2195,shaker classic,marisa kirisame,blaze agent,0,49054,21583,,
0,2196,shaker classic,sasuke kun,shadow dio,1,67093,7823,,
0,2197,shaker classic,mai_k,vergil,1,30464,20687,,
0,2198,shaker classic,abyss,sakura kinomoto,1,36823,23950,,
0,2199,shaker classic,the flash,void,0,12592,38972,,
0,2200,shaker classic,saint kyo,donovan,0,75787,12490,,
0,2201,shaker classic,shin kazuma,nrvnqsr chaos,0,118303,5756,,
0,2202,shaker classic,marisa kirisame,chaos hiryu,0,25886,60380,,
0,2203,shaker classic,sasuke kun,mai_k,0,20800,35594,,
0,2204,shaker classic,abyss,the flash,0,114123,7089,,
0,2205,shaker classic,shin kazuma,saint kyo,1,5188,124292,,
0,2206,shaker classic,marisa kirisame,sasuke kun,0,71235,24138,,
0,2207,shaker classic,abyss,shin kazuma,1,39388,43227,,
0,2208,shaker classic,sasuke kun,shin kazuma,0,71472,11532,,
0,2209,shaker classic,marisa kirisame,abyss,0,75678,14428,,
0,2210,shaker classic,shin kazuma,the flash,0,50618,24814,,
0,2211,shaker classic,honda asuka,ssj4gohan,0,6159,21494,,
0,2213,shaker classic,ubu,tara-gyouza,0,66655,4934,,
0,2214,shaker classic,sandman,esmeralda,0,53144,2126,,
0,2215,shaker classic,setsuna,flash,0,47122,1907,,
0,2216,shaker classic,ella,yellow devil,0,6809,47811,,
0,2217,shaker classic,plastic man,komepo,0,19548,5761,,
0,2218,shaker classic,chun-lee dark bolt,nanaya shiki,0,26181,29213,,
0,2219,shaker classic,avdol ver 2001/01/30 by camrat,jin,0,7090,17456,,
0,2220,shaker classic,captain caveman,brian griffin,0,26270,3558,,
0,2221,shaker classic,bart,shikamaru,0,2508,30027,,
0,2222,shaker classic,jason todd,windows me,0,21665,2746,,
0,2223,shaker classic,bane,goku ssj4,0,11449,26171,,
0,2224,shaker classic,zero,alice,0,5751,20513,,
0,2225,shaker classic,gato,captain ginyu,0,41909,7681,,
0,2226,shaker classic,_old_nobunaga,karnov,0,64251,5269,,
0,2227,shaker classic,juggernaut,another iori,0,32573,6899,,
0,2228,shaker classic,multiple man,_aug_link,0,45472,4348,,
0,2229,shaker classic,skeletor,he-man,0,40145,6814,,
0,2794,68,spawn,cell genesis,0,4971,86,10,4
0,2797,68,chomper,chill penguin,0,54,332,8,2
0,2798,68,perfect storm x,kanmi chan,0,1095,311,15,1
0,2799,68,marvin,manamana,0,358,331,16,1
0,2801,68,diablo_skeleton,dodgers,0,20,2,4,3
0,2802,68,beast,_aug_vega,0,52,345,10,1
0,2803,68,_aug_dizzy,zidane,0,745,57,18,2
0,2804,68,goku transformer,mestre kame,0,52,690,16,3
0,2805,68,sasuke kun,kid gohan,0,10025,295,20,1
0,2806,68,sakura kinomoto,human torch,0,8901,795,18,2
0,2807,68,sakura kinomoto,hisui&kohaku,0,5594,747,17,1
0,2808,68,rikuo,_aug_black polnareff,0,1536,201,19,1
0,2809,68,sentinel,p. chunli,0,835,405,20,1
0,2810,68,jason todd,ken,0,626,592,19,2
0,2811,68,gohan ssj3,_aug_chaos,0,66,721,18,2
0,2812,68,battle mahoro,normal chibi trunks,0,955,292,19,3
0,2814,68,yatogi tetsu,gold warmachine,0,21,435,13,1
0,2815,68,elastigirl,goku kid,0,267,357,17,4
0,2816,68,mexican typhoon,mech gouki,0,1990,993,23,2
0,2817,68,randy m. green,nanaya,0,407,385,20,3
0,2819,68,goku ssj4 db final bout,_aug_slayer,0,415,241,17,4
0,2820,68,moleman,fox mccloud,0,224,1443,25,2
0,2821,68,black mask,jon talbain,0,487,1190,26,2
0,2823,68,warachia,aoi-ko,0,797,578,22,1
0,2824,68,androide 18,sailor mercury,0,1029,1346,25,1
0,2825,68,mr satan,metallo,0,1277,266,20,1
0,2826,68,daffy duck,sponge bob,0,788,566,22,3
0,2827,68,jyakku no keshin dio,chloe,0,808,278,25,2
0,2828,68,shin kazuma,wakko,0,2391,51,25,2
0,2829,68,kamek,skull-man,0,1716,196,21,3
0,2830,68,shadow vegeta,guerrero divino del dragn,0,1985,460,24,2
0,2831,68,lord shaolin lee,_aug_a.b.a,0,556,1285,21,4
0,2832,68,myuu,mars people,0,435,3315,24,2
0,2833,68,m-vegeta-ssj3,sparta_heika,0,2143,1321,26,3
0,2834,68,donald,super soldier,0,304,3157,27,2
0,2835,68,kung lao,_fake_kyo,0,1606,3685,30,1
0,2837,68,demitri,baby commando,0,1600,1414,17,1
0,2838,68,black mask,ssjgoku,0,5032,131,25,4
0,2839,68,mystique,suigintou,0,3109,1132,31,2
0,2840,68,well,guy,0,2301,1756,29,2
0,2841,68,dare devil,spider-man 2099,0,2535,3290,33,2
0,2842,68,wing zero,lion-o,0,2938,4552,34,3
0,2843,68,dare devil,tetsuo,0,6749,1473,35,2
0,2844,68,piccolo,jill,0,2818,4671,32,2
0,2845,68,shocker,popeye,0,4170,6661,36,2
0,2846,68,_aug_vanilla ice,chibi goku,0,1636,3680,35,4
0,2847,68,cyclops,sentry,0,5093,1041,39,2
0,2848,68,evil ryu,raditz,0,5501,1512,41,2
0,2849,68,chaos blanka,moleman,0,11650,615,41,3
0,2851,68,demitri,hibiki,0,4335,4209,34,2
0,2852,68,electro,shin scrub ken,0,593,4241,37,3
