"18th angel",1,22,2,5.61185851017581,1609,886,1,-0.135078827962259
"20 (dr. gero)",2,15,25,-1.43548987178928,239,845,1,-0.321353262758408
"2ban-tan",3,3,42,-4.7499446385298,1121,1663,1,-0.215601711016288
"2k",4,3,39,-4.07362755697826,231,1076,1,-0.183149751113359
"45 flonne",5,0,1,-3.80458224885705,0,1124,0,-0.0147072205513179
"009",6,11,31,-2.33261022135369,579,190,1,-0.295219479517491
"95",7,3,55,-4.37412844349603,352,111,1,-0.123874816171141
"95 no danna",8,1,27,-4.23371667458504,1580,121,1,-0.0652868167373599
"98",9,9,34,-2.93774427591169,390,1639,1,-0.22283987920965
"98se",10,7,31,-2.64992355183184,1547,1016,1,-0.170433613811547
"a.b.a",11,1,9,-4.07141304799463,1753,993,1,-0.0613810569756933
"abui",12,4,37,-3.21653706356709,579,1664,1,-0.198055886371424
"abyss",13,5,2,5.40118980032536,1655,1612,1,-1.01012186828217
"acguy",14,15,1,4.74542162563881,317,368,1,-0.207245490735074
"achi cirno",15,20,4,3.49485378758049,1828,1144,1,-0.123425660727487
"acirno_3.5",16,12,0,6.63459680798641,544,0,0,-0.0271544082006468
"adon",17,29,31,-0.789133302201194,1277,1567,1,-0.329080051159006
"aeris ;or if you prefer, use aerith",18,13,15,-1.35957907664521,1691,237,1,-0.336197100452531
"agito_of_the_dark",19,0,26,-5.1951318945679,0,190,0,-0.0211140111997176
"agony",20,36,17,1.39904946044315,1221,1095,1,-0.316054828233458
"a-green",21,8,5,2.48952095111474,1284,838,1,-0.134027392049798
"agrias",22,7,14,-2.19135413558597,612,1302,1,-0.7820810967769
"aile",23,0,12,-5.4025542586348,0,1239,0,-0.021259673478196
"airman",24,17,23,-1.32549248215248,1395,899,1,-0.332835401181572
"aisha",25,1,12,-5.51007553229973,1271,729,1,-0.282627726043327
"akaneko",26,0,14,-5.20366955292397,0,1123,0,-0.021094543420938
"akane satomura",27,6,24,-2.25337452744122,131,1367,1,-0.185342982404808
"akiha",28,25,18,1.05140144954851,1310,49,1,-0.35832086137602
"aku-amakusa",29,29,15,1.76217148608984,576,311,1,-0.25770580280591
"akuma",30,37,24,1.14187433458603,227,1126,1,-0.204519652523499
"alessi",31,12,1,4.35783824002764,894,1759,1,-0.17425163885364
"aleti",32,24,2,5.37196523129538,1374,1374,1,-0.0864154876223451
"alex",33,34,9,2.77562004878864,859,413,1,-0.278134729076361
"alex mercer",34,33,18,1.07916668698946,906,413,1,-0.371406442486524
"alice",35,9,36,-3.1657220558451,250,1514,1,-0.229149575704745
"alice margatroid",36,9,25,-2.79547057038141,1373,762,1,-0.337207307323934
"alien queen",37,34,10,2.25348096455694,1053,115,1,-0.325652453559065
"alter amiba",38,76,18,2.74403673498274,1497,1595,1,-0.211163315487999
"alucard",39,4,38,-4.13481094269067,104,577,1,-0.0764874630917856
"ami",40,19,19,-0.327831256942884,209,438,1,-0.295034727203147
"amiba",41,1,21,-4.49703245236219,233,746,1,-0.108768066022065
"ami bf",42,17,22,-1.36046465472276,1489,1069,1,-0.383078345365913
"amingo",43,9,21,-1.62901631571025,48,327,1,-0.121415671384106
"amy",44,1,46,-5.46841896082872,111,1387,1,-0.0774102761649732
"anakaris",45,42,9,2.93240741632922,1008,1180,1,-0.430477277897798
"andore jr",46,33,18,0.772043467629065,1001,1763,1,-0.260769602700869
"android 16",47,49,21,1.58265604898809,702,102,1,-0.294612806516025
"android 17",48,16,32,-1.61307555837617,1505,1069,1,-0.221945350343003
"android 18",49,53,86,-1.75499283463988,433,943,1,-0.484524358084231
"androide 17",50,4,1,1.6188085123022,496,1457,1,-0.212476776466725
"androide 18",51,5,6,-0.139042900493547,1414,467,1,-0.310811707168493
"andromeda",52,15,37,-1.93435580694192,1722,923,1,-0.382261918370702
"andy_xiii",53,12,18,-0.985126413022364,1242,1656,1,-0.181805166697321
"angel ryu",54,5,31,-3.2445750499714,1432,1389,1,-0.382669731390693
"angus",55,64,15,3.1352139611585,1090,1127,1,-0.139480836344428
"anji",56,8,12,-0.978444952355908,690,1823,1,-0.16886831535573
"anna",57,10,28,-2.42093639811455,530,1468,1,-0.307258514766123
"annie murakami",58,33,19,1.33983043104119,1641,478,1,-0.332381625246104
"another iori",59,5,39,-3.1832096766779,599,1468,1,-0.136772421592613
"another jissou seki",60,4,26,-4.3522950023702,413,1437,1,-0.297101547929994
"another kyo",61,25,16,0.211113266990544,611,1764,1,-0.267679279300206
"antman",62,8,16,-1.11024041401281,1655,1573,1,-0.803194811628516
"aoi-ko",63,14,39,-2.18366782034091,1819,36,1,-0.313834233310779
"aoko",64,33,7,2.99270819146168,1812,1488,1,-0.20347924209289
"aoshi",65,28,22,0.907500092365492,1356,115,1,-0.29490963166801
"apocalypse",66,38,13,2.98011409883558,313,948,1,-0.390838392124086
"aquaman",67,17,25,-0.996993359746679,267,1067,1,-0.33441001929153
"aracne de tarantula",68,30,10,1.67573919831635,950,1763,1,-0.25182807689697
"araki runa",69,12,37,-2.24938241256317,789,1815,1,-0.288492659703325
"arale",70,7,1,4.04598737276989,1459,317,1,-0.214759873423919
"archangel",71,31,16,1.3209890620685,1792,279,1,-0.315299083563414
"archer",72,22,11,1.3516006406638,1250,413,1,-0.293058929351972
"archetype:earth",73,17,46,-2.00755402748849,168,879,1,-0.285562900010515
"arcueid",74,40,13,2.50502128995668,1599,496,1,-0.279955784913978
"arina",75,12,1,3.69992176197839,224,268,1,-0.320046998111744
"arlong",76,4,6,-1.93748204493907,326,857,1,-0.232130379611374
"armored gohan",77,33,12,2.46295330179253,346,604,1,-0.270211228888777
"armor jack",78,14,2,4.30943733874755,870,493,1,-0.130135996916712
"arrange_ayu",79,28,1,5.77517422566749,1243,876,1,-0.0984095136602431
"arrange_kano",80,1,0,2.88492588975053,1568,0,0,-0.0115473352462547
"arrange_mishio",81,31,0,5.75971100225158,1309,0,0,-0.0226720941748619
"arrange_misuzu",82,25,2,5.10422018583758,158,1333,1,-0.0984521771056826
"arrange_remilia",83,25,2,5.3352535891166,1148,1354,0,-0.0896592045377325
"arrange_shiori",84,29,2,4.29462674124222,1475,1477,1,-0.0828776477395561
"arrange_unknown",85,30,2,4.44241344763846,1475,86,0,-0.0590335662241046
"arthas",86,23,2,5.05207536883204,85,175,0,-0.0637572907267074
"arthur",87,12,26,-1.35404814192622,17,48,1,-0.288940566590005
"asagi",88,2,22,-3.77317992322174,532,921,1,-0.127016842740361
"asahina mikuru",89,2,25,-4.09621534602986,1651,1109,1,-0.118421002192017
"asamiya saki x",90,22,0,5.14484731437443,1401,0,0,-0.0204015483104228
"ash",91,16,25,-0.723273966038439,274,1719,1,-0.368809078578869
"astaroth",92,22,9,1.28958515902243,1658,530,1,-0.247829967458444
"astroboy",93,12,39,-1.30757221737661,552,920,1,-0.264384860569828
"asuta-san",94,1,39,-5.07327921240179,1851,1513,1,-0.147831945376295
"athena",95,14,66,-2.88575868683021,1748,1168,1,-0.188530692871157
"athena asamiya",96,24,7,2.70621418987622,1619,1062,1,-0.302983338474277
"atusi",97,12,20,-1.37463477614006,1402,202,1,-0.416558072151897
"_aug_a.b.a",98,4,28,-3.18507036832434,243,95,1,-0.201807887973647
"_aug_alessi",99,7,21,-2.63145998981965,413,385,1,-0.352295948129983
"_aug_anji",100,5,16,-3.54393686316378,1433,659,1,-0.160464719380639
"_aug_antman",101,1,11,-3.89164539200306,530,153,1,-0.273141557602417
"_aug_ash",102,105,115,-0.309070855102329,492,879,1,-0.285090604218998
"_aug_axl",103,10,30,-2.90671183633215,1258,479,1,-0.260316801541442
"_aug_baiken",104,1,28,-4.95137684182805,1746,39,1,-0.0673333241541364
"_aug_black polnareff",105,4,23,-2.52589427097257,239,634,1,-0.191431428201049
